family,n,tie_count,conventional_count,ai_product_count,exclude_count,non_target_count,pct_conventional,pct_ai_product,pct_exclude,pct_non_target,non_target_ci_low,non_target_ci_high
root instruction file,122,1,71,23,27,50,58.7,19.0,22.3,41.3,32.9,50.2
unknown/other,56,2,16,25,13,38,29.6,46.3,24.1,70.4,57.2,80.9
prompts directory,51,1,14,28,8,36,28.0,56.0,16.0,72.0,58.3,82.5
system prompt source,49,0,13,25,11,36,26.5,51.0,22.4,73.5,59.7,83.8
.cursor/rules,14,0,5,6,3,9,35.7,42.9,21.4,64.3,38.8,83.7
.github/chatmodes,6,0,4,0,2,2,66.7,0.0,33.3,33.3,9.7,70.0
docs/wiki,1,0,0,0,1,1,0.0,0.0,100.0,100.0,20.7,100.0
package/application source,1,0,0,1,0,1,0.0,100.0,0.0,100.0,20.7,100.0
